cluster	entrezgene_id	external_gene_name	Number of datasets	max(|logFC|)	logFC	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
cluster_1						GO_Biological_Process_2021__phosphatidylserine metabolic process (GO:0006658)	0.4543918918918918	1.1951513145105677	0.232	0.576380906045639	1.0	5/5	54.75%	MBOAT1;PLA1A;PLAAT3;LPCAT4;SERINC1
cluster_1						GO_Biological_Process_2021__positive regulation of interleukin-1 beta production (GO:0032731)	0.5088741348461867	1.195051134254222	0.24938875305623473	0.5753242666799957	1.0	3/4	25.74%	HSPB1;IFI16;TLR4
cluster_1						GO_Biological_Process_2021__positive regulation of interleukin-1 production (GO:0032732)	0.5088741348461867	1.195051134254222	0.24938875305623473	0.5753242666799957	1.0	3/4	25.74%	HSPB1;IFI16;TLR4
cluster_1						GO_Biological_Process_2021__superoxide metabolic process (GO:0006801)	0.8964646464646464	1.1945585421656117	0.18091451292246521	0.5756773046393968	1.0	1/1	10.43%	CYBB
cluster_1						GO_Biological_Process_2021__superoxide anion generation (GO:0042554)	0.8964646464646464	1.1945585421656117	0.18091451292246521	0.5756773046393968	1.0	1/1	10.43%	CYBB
cluster_1						GO_Biological_Process_2021__negative regulation of signal transduction by p53 class mediator (GO:1901797)	0.6823925863521481	1.1945188824400668	0.23820224719101124	0.5738123139167233	1.0	2/2	31.88%	CD44;PTTG1IP
cluster_1						GO_Biological_Process_2021__negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	0.6823925863521481	1.1945188824400668	0.23820224719101124	0.5738123139167233	1.0	2/2	31.88%	CD44;PTTG1IP
cluster_1						GO_Biological_Process_2021__regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043516)	0.6823925863521481	1.1945188824400668	0.23820224719101124	0.5738123139167233	1.0	2/2	31.88%	CD44;PTTG1IP
cluster_1						GO_Biological_Process_2021__cellular senescence (GO:0090398)	0.581787521079258	1.1940575586115048	0.26139088729016785	0.5746554351267601	1.0	3/3	41.97%	ECRG4;OPA1;MAP2K1
cluster_1						GO_Biological_Process_2021__regulation of cell morphogenesis (GO:0022604)	0.5520260101433435	1.193127246824267	0.2456575682382134	0.5769886571054822	1.0	2/3	15.22%	CD44;SPARC
cluster_1						GO_Biological_Process_2021__regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway (GO:0070432)	0.9048821548821548	1.1926596842077926	0.19574468085106383	0.5775584244707023	1.0	1/1	9.59%	ERBIN
cluster_1						GO_Biological_Process_2021__cellular response to acetylcholine (GO:1905145)	-0.8998316498316498	-1.1920563527446497	0.19094488188976377	0.8550633142790972	1.0	1/1	10.18%	CHRM3
cluster_1						GO_Biological_Process_2021__cytoplasmic sequestering of protein (GO:0051220)	0.6512215669755685	1.1914014826415034	0.2440087145969499	0.5805519697259458	1.0	2/2	34.99%	NFKBIA;YWHAB
cluster_1						GO_Biological_Process_2021__cellular amino acid biosynthetic process (GO:0008652)	-0.5781488624059112	-1.190351911637926	0.23183391003460208	0.8602248246230184	1.0	2/3	19.76%	GAD2;GAD1
cluster_1						GO_Biological_Process_2021__negative regulation of cytokine-mediated signaling pathway (GO:0001960)	0.44724079017964324	1.1895161384058475	0.2537688442211055	0.5849775491421937	1.0	3/5	15.90%	NLRC5;TREM2;PTPRC
cluster_1						GO_Biological_Process_2021__glycosaminoglycan metabolic process (GO:0030203)	0.8939393939393939	1.1871579813901396	0.21327967806841047	0.5898905718610186	1.0	1/1	10.68%	SDC4
cluster_1						GO_Biological_Process_2021__regulation of extracellular exosome assembly (GO:1903551)	0.8939393939393939	1.1871579813901396	0.21327967806841047	0.5898905718610186	1.0	1/1	10.68%	SDC4
cluster_1						GO_Biological_Process_2021__regulation of mitochondrial membrane permeability (GO:0046902)	-0.7062640130357465	-1.1870703887980205	0.20903954802259886	0.872249651320008	1.0	1/2	2.19%	CAMK2A
cluster_1						GO_Biological_Process_2021__positive regulation of reproductive process (GO:2000243)	-0.6925021061499579	-1.186572193756826	0.22280701754385965	0.8721330899735281	1.0	2/2	30.95%	VIP;PLCB1
cluster_1						GO_Biological_Process_2021__positive regulation of extrinsic apoptotic signaling pathway (GO:2001238)	0.6621735467565291	1.1861199744755773	0.2210065645514223	0.5923426648490675	1.0	2/2	33.89%	TNFRSF12A;RET
cluster_1						GO_Biological_Process_2021__positive regulation of phagocytosis, engulfment (GO:0060100)	0.6781802864363942	1.18608005358999	0.2431865828092243	0.5904615999849584	1.0	2/2	32.30%	TREM2;ANO6
cluster_1						GO_Biological_Process_2021__regulation of phagocytosis, engulfment (GO:0060099)	0.6781802864363942	1.18608005358999	0.2431865828092243	0.5904615999849584	1.0	2/2	32.30%	TREM2;ANO6
cluster_1						GO_Biological_Process_2021__positive regulation of membrane invagination (GO:1905155)	0.6781802864363942	1.18608005358999	0.2431865828092243	0.5904615999849584	1.0	2/2	32.30%	TREM2;ANO6
cluster_1						GO_Biological_Process_2021__positive regulation of antigen receptor-mediated signaling pathway (GO:0050857)	0.6697556866048864	1.1858636975885248	0.2510460251046025	0.5904756056503935	1.0	2/2	33.14%	PTPRC;SLC39A10
cluster_1						GO_Biological_Process_2021__membrane protein proteolysis (GO:0033619)	0.6621735467565291	1.1857466948859385	0.23058823529411765	0.5901400302563925	1.0	2/2	33.89%	CTSH;RET
cluster_1						GO_Biological_Process_2021__positive regulation of cellular biosynthetic process (GO:0031328)	0.31745035931383214	1.1854498682784318	0.22514619883040934	0.5901236009977028	1.0	6/10	25.74%	RGCC;HGF;MID1IP1;ELOVL5;SLC6A9;TLR4
cluster_1						GO_Biological_Process_2021__regulation of myotube differentiation (GO:0010830)	0.5514333895446879	1.1840913580411105	0.2561576354679803	0.5931431929765945	1.0	3/3	45.00%	CCN3;RBM24;BDNF
cluster_1						GO_Biological_Process_2021__response to testosterone (GO:0033574)	0.8905723905723906	1.1840123904210338	0.23839662447257384	0.5893609772393538	1.0	1/1	11.02%	SPP1
cluster_1						GO_Biological_Process_2021__positive regulation of bone resorption (GO:0045780)	0.8905723905723906	1.1840123904210338	0.23839662447257384	0.5893609772393538	1.0	1/1	11.02%	SPP1
cluster_1						GO_Biological_Process_2021__response to vitamin D (GO:0033280)	0.8905723905723906	1.1840123904210338	0.23839662447257384	0.5893609772393538	1.0	1/1	11.02%	SPP1
cluster_1						GO_Biological_Process_2021__response to vitamin (GO:0033273)	0.8905723905723906	1.1840123904210338	0.23839662447257384	0.5893609772393538	1.0	1/1	11.02%	SPP1
cluster_1						GO_Biological_Process_2021__cellular response to testosterone stimulus (GO:0071394)	0.8905723905723906	1.1840123904210338	0.23839662447257384	0.5893609772393538	1.0	1/1	11.02%	SPP1
cluster_1						GO_Biological_Process_2021__positive regulation of lipid transport (GO:0032370)	0.8905723905723906	1.1840123904210338	0.23839662447257384	0.5893609772393538	1.0	1/1	11.02%	SPP1
cluster_1						GO_Biological_Process_2021__regulation of cAMP-mediated signaling (GO:0043949)	-0.5112625907453268	-1.1834167765530543	0.24006622516556292	0.8839025283837908	1.0	2/4	12.11%	PDE2A;PRKAR1B
cluster_1						GO_Biological_Process_2021__positive regulation of DNA biosynthetic process (GO:2000573)	0.44750893565990535	1.1826918664159158	0.25654450261780104	0.5924921637565175	1.0	4/5	36.75%	RGCC;HGF;GREM1;PKIB
cluster_1						GO_Biological_Process_2021__regulation of neuron death (GO:1901214)	-0.3509419791521625	-1.1823662910676556	0.2768777614138439	0.8862376209481424	1.0	3/11	5.97%	GRIN2B;SNCB;CHGA
cluster_1						GO_Biological_Process_2021__regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	-0.5223628691983122	-1.182026863048037	0.2830820770519263	0.8852441836375534	1.0	4/4	48.02%	NPTX1;DLGAP2;NPTX2;NPTXR
cluster_1						GO_Biological_Process_2021__negative regulation of ATPase activity (GO:0032780)	-0.6689901208283764	-1.181949745352295	0.20809248554913296	0.8834100137418279	1.0	1/2	2.35%	SLN
cluster_1						GO_Biological_Process_2021__positive regulation of brown fat cell differentiation (GO:0090336)	-0.6891322662173547	-1.1808485874108092	0.2314990512333966	0.8836132536287837	1.0	2/2	31.29%	VSTM2A;FNDC5
cluster_1						GO_Biological_Process_2021__regulation of brown fat cell differentiation (GO:0090335)	-0.6891322662173547	-1.1808485874108092	0.2314990512333966	0.8836132536287837	1.0	2/2	31.29%	VSTM2A;FNDC5
cluster_1						GO_Biological_Process_2021__protein localization to nucleus (GO:0034504)	0.5632377740303541	1.1806884100279482	0.2658536585365854	0.5977194548494673	1.0	3/3	43.82%	GBP2;PTTG1IP;RANBP17
cluster_1						GO_Biological_Process_2021__rRNA metabolic process (GO:0016072)	0.6596461668070766	1.1799669192593654	0.2447058823529412	0.5971300649206013	1.0	2/2	34.15%	RPL18A;C1D
cluster_1						GO_Biological_Process_2021__ribosome biogenesis (GO:0042254)	0.6596461668070766	1.1799669192593654	0.2447058823529412	0.5971300649206013	1.0	2/2	34.15%	RPL18A;C1D
cluster_1						GO_Biological_Process_2021__rRNA processing (GO:0006364)	0.6596461668070766	1.1799669192593654	0.2447058823529412	0.5971300649206013	1.0	2/2	34.15%	RPL18A;C1D
cluster_1						GO_Biological_Process_2021__ncRNA processing (GO:0034470)	0.6596461668070766	1.1799669192593654	0.2447058823529412	0.5971300649206013	1.0	2/2	34.15%	RPL18A;C1D
cluster_1						GO_Biological_Process_2021__positive regulation of myelination (GO:0031643)	0.8998316498316499	1.1796786438116178	0.2178988326848249	0.5954016633825044	1.0	1/1	10.09%	MYRF
cluster_1						GO_Biological_Process_2021__regulation of myelination (GO:0031641)	0.8998316498316499	1.1796786438116178	0.2178988326848249	0.5954016633825044	1.0	1/1	10.09%	MYRF
cluster_1						GO_Biological_Process_2021__positive regulation of nervous system process (GO:0031646)	0.8998316498316499	1.1796786438116178	0.2178988326848249	0.5954016633825044	1.0	1/1	10.09%	MYRF
cluster_1						GO_Biological_Process_2021__protein autoprocessing (GO:0016540)	0.8998316498316499	1.1796786438116178	0.2178988326848249	0.5954016633825044	1.0	1/1	10.09%	MYRF
cluster_1						GO_Biological_Process_2021__sprouting angiogenesis (GO:0002040)	0.3999810396301412	1.179671483819147	0.23184357541899442	0.5947781743478194	1.0	5/6	36.00%	ANGPT1;DLL1;GREM1;BMPER;YJEFN3
cluster_1						GO_Biological_Process_2021__hippo signaling (GO:0035329)	0.6512215669755685	1.1795622109860133	0.2488479262672811	0.5943307655187229	1.0	2/2	34.99%	WWTR1;YWHAB
cluster_1						GO_Biological_Process_2021__central nervous system development (GO:0007417)	-0.23300809902568498	-1.1792710538433113	0.24878048780487805	0.8883906314808276	1.0	24/37	49.03%	SLC6A17;GRIN2B;NPTX1;CNTN4;TBR1;TAGLN3;HPCAL4;ADGRL2;NDRG4;NNAT;GRIN2A;SYNJ1;ARNT2;ASIC2;NR4A2;SEMA6B;DCLK1;SERPINI1;HAPLN1;CA10;IL1RAPL2;ROBO2;CNTN6;PITPNM1
cluster_1						GO_Biological_Process_2021__negative regulation of nucleic acid-templated transcription (GO:1903507)	0.24644912995348212	1.1786090487967311	0.25412541254125415	0.5963171522633735	1.0	10/17	29.44%	CRYAB;IRF1;CAPN3;ID3;SFRP2;IFI16;SALL1;SOX8;NACC2;SOX9
cluster_1						GO_Biological_Process_2021__zinc ion import across plasma membrane (GO:0071578)	0.6697556866048864	1.1784917300320246	0.266384778012685	0.5959381728178669	1.0	2/2	33.14%	SLC39A12;SLC39A10
cluster_1						GO_Biological_Process_2021__regulation of epithelial to mesenchymal transition (GO:0010717)	0.40635704554758323	1.1780007753375246	0.27440633245382584	0.5965073049182518	1.0	3/6	14.72%	RGCC;WWTR1;SFRP2
cluster_1						GO_Biological_Process_2021__regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043281)	0.4383841218081813	1.1772676084578426	0.24378109452736318	0.5979494689438175	1.0	3/5	15.64%	AQP1;CD44;HGF
cluster_1						GO_Biological_Process_2021__vesicle fusion with endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane (GO:1990668)	0.8813131313131313	1.176454480645481	0.22268907563025211	0.5984919609345212	1.0	1/1	11.94%	TAP1
cluster_1						GO_Biological_Process_2021__antigen processing and presentation of endogenous peptide antigen via MHC class I (GO:0019885)	0.8813131313131313	1.176454480645481	0.22268907563025211	0.5984919609345212	1.0	1/1	11.94%	TAP1
cluster_1						GO_Biological_Process_2021__peptide transport (GO:0015833)	0.8813131313131313	1.176454480645481	0.22268907563025211	0.5984919609345212	1.0	1/1	11.94%	TAP1
cluster_1						GO_Biological_Process_2021__monovalent inorganic cation homeostasis (GO:0055067)	-0.6676997252257568	-1.1758348149298739	0.19891500904159132	0.9015366459189604	1.0	1/2	1.60%	SLC12A5
cluster_1						GO_Biological_Process_2021__clathrin coat assembly (GO:0048268)	-0.8939393939393939	-1.1758036115043338	0.24324324324324326	0.899432659057336	1.0	1/1	10.77%	NSG2
cluster_1						GO_Biological_Process_2021__regulation of potassium ion transmembrane transport (GO:1901379)	-0.33035914467915417	-1.1744929068760357	0.28005865102639294	0.9028655709166645	1.0	9/12	50.04%	GABBR2;KCNAB2;KCNJ6;KCNJ3;KCNN1;GNG2;KCNIP1;KCNIP2;KCNAB1
cluster_1						GO_Biological_Process_2021__renal system process involved in regulation of blood volume (GO:0001977)	0.8872053872053872	1.1738108761262016	0.23	0.604181414186484	1.0	1/1	11.35%	CYP4F12
cluster_1						GO_Biological_Process_2021__epoxygenase P450 pathway (GO:0019373)	0.8872053872053872	1.1738108761262016	0.23	0.604181414186484	1.0	1/1	11.35%	CYP4F12
cluster_1						GO_Biological_Process_2021__fat-soluble vitamin metabolic process (GO:0006775)	0.8872053872053872	1.1738108761262016	0.23	0.604181414186484	1.0	1/1	11.35%	CYP4F12
cluster_1						GO_Biological_Process_2021__post-translational protein modification (GO:0043687)	0.1992895276894475	1.1733906211941485	0.25	0.6047233181083371	1.0	7/25	11.02%	CP;TIMP1;PSMB9;CCN1;SERPINA1;PSMB8;SPP1
cluster_1						GO_Biological_Process_2021__regulation of CD8-positive, alpha-beta T cell activation (GO:2001185)	0.8855218855218855	1.1726936282159908	0.24	0.6039037080114913	1.0	1/1	11.52%	IRF1
cluster_1						GO_Biological_Process_2021__regulation of CD8-positive, alpha-beta T cell proliferation (GO:2000564)	0.8855218855218855	1.1726936282159908	0.24	0.6039037080114913	1.0	1/1	11.52%	IRF1
cluster_1						GO_Biological_Process_2021__negative regulation of regulatory T cell differentiation (GO:0045590)	0.8855218855218855	1.1726936282159908	0.24	0.6039037080114913	1.0	1/1	11.52%	IRF1
cluster_1						GO_Biological_Process_2021__regulation of alpha-beta T cell proliferation (GO:0046640)	0.8855218855218855	1.1726936282159908	0.24	0.6039037080114913	1.0	1/1	11.52%	IRF1
cluster_1						GO_Biological_Process_2021__positive regulation of endocytosis (GO:0045807)	0.37309644670050757	1.1724621035530938	0.2283464566929134	0.6037013873726514	1.0	7/7	62.91%	TREM2;LDLRAP1;DLL1;ANO6;NEDD4L;HNRNPK;SNCA
cluster_1						GO_Biological_Process_2021__regulation of microtubule polymerization or depolymerization (GO:0031110)	-0.5094756589139566	-1.1723528206697589	0.25757575757575757	0.9102088168793011	1.0	3/4	34.31%	STMN2;MAP2;STMN3
cluster_1						GO_Biological_Process_2021__negative regulation of necroptotic process (GO:0060546)	0.8947811447811448	1.1720405135443488	0.2392638036809816	0.6031678516135173	1.0	1/1	10.60%	YBX3
cluster_1						GO_Biological_Process_2021__regulation of necroptotic process (GO:0060544)	0.8947811447811448	1.1720405135443488	0.2392638036809816	0.6031678516135173	1.0	1/1	10.60%	YBX3
cluster_1						GO_Biological_Process_2021__positive regulation of cytoplasmic translation (GO:2000767)	0.8947811447811448	1.1720405135443488	0.2392638036809816	0.6031678516135173	1.0	1/1	10.60%	YBX3
cluster_1						GO_Biological_Process_2021__microtubule depolymerization (GO:0007019)	-0.6732507551378015	-1.1717445333305903	0.24577861163227016	0.9106296491014149	1.0	1/2	0.84%	STMN2
cluster_1						GO_Biological_Process_2021__peptidyl-tyrosine dephosphorylation (GO:0035335)	-0.8787878787878788	-1.1708364352441107	0.2633832976445396	0.907840817427499	1.0	1/1	12.28%	PTPRT
cluster_1						GO_Biological_Process_2021__peptidyl-tyrosine dephosphorylation involved in inactivation of protein kinase activity (GO:1990264)	-0.8787878787878788	-1.1708364352441107	0.2633832976445396	0.907840817427499	1.0	1/1	12.28%	PTPRT
cluster_1						GO_Biological_Process_2021__negative regulation of receptor signaling pathway via STAT (GO:1904893)	-0.8787878787878788	-1.1708364352441107	0.2633832976445396	0.907840817427499	1.0	1/1	12.28%	PTPRT
cluster_1						GO_Biological_Process_2021__negative regulation of Notch signaling pathway (GO:0045746)	-0.5755205535457542	-1.1699746904925228	0.2580071174377224	0.9093596697772998	1.0	2/3	20.94%	NEURL1;FBXW7
cluster_1						GO_Biological_Process_2021__nuclear membrane reassembly (GO:0031468)	0.5522765598650929	1.169455881432937	0.2979214780600462	0.608519345418129	1.0	3/3	44.91%	REEP3;CHMP4B;PPP2CA
cluster_1						GO_Biological_Process_2021__mitotic nuclear membrane organization (GO:0101024)	0.5522765598650929	1.169455881432937	0.2979214780600462	0.608519345418129	1.0	3/3	44.91%	REEP3;CHMP4B;PPP2CA
cluster_1						GO_Biological_Process_2021__mitotic nuclear membrane reassembly (GO:0007084)	0.5522765598650929	1.169455881432937	0.2979214780600462	0.608519345418129	1.0	3/3	44.91%	REEP3;CHMP4B;PPP2CA
cluster_1						GO_Biological_Process_2021__hemidesmosome assembly (GO:0031581)	0.8796296296296297	1.16883499146406	0.26705653021442494	0.6076697410121711	1.0	1/1	12.11%	ITGB4
cluster_1						GO_Biological_Process_2021__mesoderm formation (GO:0001707)	0.8796296296296297	1.16883499146406	0.26705653021442494	0.6076697410121711	1.0	1/1	12.11%	ITGB4
cluster_1						GO_Biological_Process_2021__skin morphogenesis (GO:0043589)	0.8796296296296297	1.16883499146406	0.26705653021442494	0.6076697410121711	1.0	1/1	12.11%	ITGB4
cluster_1						GO_Biological_Process_2021__mesodermal cell differentiation (GO:0048333)	0.8796296296296297	1.16883499146406	0.26705653021442494	0.6076697410121711	1.0	1/1	12.11%	ITGB4
cluster_1						GO_Biological_Process_2021__positive regulation of leukocyte mediated cytotoxicity (GO:0001912)	0.5520463698681359	1.1686794449709739	0.25586854460093894	0.6075374680800004	1.0	2/3	4.21%	HLA-DRA;AZGP1
cluster_1						GO_Biological_Process_2021__peptidyl-proline modification (GO:0018208)	0.6604886267902275	1.1679079013152756	0.28442437923250563	0.608961869214365	1.0	2/2	34.06%	P3H2;FKBP1A
cluster_1						GO_Biological_Process_2021__positive regulation of cell adhesion mediated by integrin (GO:0033630)	0.6621735467565291	1.1673872533311394	0.2825112107623318	0.6097029581502437	1.0	2/2	33.89%	SFRP2;RET
cluster_1						GO_Biological_Process_2021__intermediate filament organization (GO:0045109)	0.8804713804713805	1.1666265037116967	0.2676864244741874	0.6103864950106758	1.0	1/1	12.03%	GFAP
cluster_1						GO_Biological_Process_2021__regulation of cellular component biogenesis (GO:0044087)	0.8804713804713805	1.1666265037116967	0.2676864244741874	0.6103864950106758	1.0	1/1	12.03%	GFAP
cluster_1						GO_Biological_Process_2021__myofibril assembly (GO:0030239)	0.8695286195286196	1.1664195957573176	0.2437619961612284	0.60719846399558	1.0	1/1	13.12%	CAPN3
cluster_1						GO_Biological_Process_2021__striated muscle cell development (GO:0055002)	0.8695286195286196	1.1664195957573176	0.2437619961612284	0.60719846399558	1.0	1/1	13.12%	CAPN3
cluster_1						GO_Biological_Process_2021__regulation of proteolysis (GO:0030162)	0.8695286195286196	1.1664195957573176	0.2437619961612284	0.60719846399558	1.0	1/1	13.12%	CAPN3
cluster_1						GO_Biological_Process_2021__sarcomere organization (GO:0045214)	0.8695286195286196	1.1664195957573176	0.2437619961612284	0.60719846399558	1.0	1/1	13.12%	CAPN3
cluster_1						GO_Biological_Process_2021__negative regulation of protein sumoylation (GO:0033234)	0.8695286195286196	1.1664195957573176	0.2437619961612284	0.60719846399558	1.0	1/1	13.12%	CAPN3
cluster_1						GO_Biological_Process_2021__self proteolysis (GO:0097264)	0.8695286195286196	1.1664195957573176	0.2437619961612284	0.60719846399558	1.0	1/1	13.12%	CAPN3
cluster_1						GO_Biological_Process_2021__actin filament reorganization (GO:0090527)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__positive regulation of homotypic cell-cell adhesion (GO:0034112)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__negative regulation of protein targeting to membrane (GO:0090315)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__positive regulation of hemostasis (GO:1900048)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__regulation of platelet aggregation (GO:0090330)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__negative regulation of substrate adhesion-dependent cell spreading (GO:1900025)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__erythrocyte development (GO:0048821)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__regulation of lamellipodium assembly (GO:0010591)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__negative regulation of peptidyl-threonine phosphorylation (GO:0010801)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__positive regulation of integrin-mediated signaling pathway (GO:2001046)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__positive regulation of coagulation (GO:0050820)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__negative regulation of cell morphogenesis involved in differentiation (GO:0010771)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__regulation of protein targeting to membrane (GO:0090313)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__regulation of blood coagulation (GO:0030193)	-0.8796296296296295	-1.1662696113150037	0.27115384615384613	0.8944836351883679	1.0	1/1	12.20%	DMTN
cluster_1						GO_Biological_Process_2021__positive regulation of catalytic activity (GO:0043085)	0.6512215669755688	1.1651715463939603	0.28227571115973743	0.6100514181611036	1.0	2/2	34.99%	MID1IP1;YWHAB
cluster_1						GO_Biological_Process_2021__heparan sulfate proteoglycan biosynthetic process, enzymatic modification (GO:0015015)	-0.8838383838383838	-1.1644424811680467	0.25157232704402516	0.9000199890817084	1.0	1/1	11.77%	HS6ST3
cluster_1						GO_Biological_Process_2021__SA node cell action potential (GO:0086015)	-0.6613310867733783	-1.164410021771013	0.24818840579710144	0.8959548247239446	1.0	2/2	34.06%	SCN3B;CACNA1G
cluster_1						GO_Biological_Process_2021__SA node cell to atrial cardiac muscle cell signaling (GO:0086018)	-0.6613310867733783	-1.164410021771013	0.24818840579710144	0.8959548247239446	1.0	2/2	34.06%	SCN3B;CACNA1G
cluster_1						GO_Biological_Process_2021__response to muramyl dipeptide (GO:0032495)	0.654591406908172	1.163706592219611	0.27765237020316025	0.6135787604656042	1.0	2/2	34.65%	ERBIN;CHMP5
cluster_1						GO_Biological_Process_2021__regulation of cardiac muscle cell apoptotic process (GO:0010665)	-0.6703722019585955	-1.16340608918041	0.24175824175824176	0.8979371367840961	1.0	1/2	2.19%	CAMK2A
cluster_1						GO_Biological_Process_2021__negative regulation of mast cell activation (GO:0033004)	0.8762626262626263	1.1633837767381023	0.2685370741482966	0.6113190345216848	1.0	1/1	12.45%	CD84
cluster_1						GO_Biological_Process_2021__negative regulation of mast cell activation involved in immune response (GO:0033007)	0.8762626262626263	1.1633837767381023	0.2685370741482966	0.6113190345216848	1.0	1/1	12.45%	CD84
cluster_1						GO_Biological_Process_2021__negative regulation of myeloid leukocyte mediated immunity (GO:0002887)	0.8762626262626263	1.1633837767381023	0.2685370741482966	0.6113190345216848	1.0	1/1	12.45%	CD84
cluster_1						GO_Biological_Process_2021__regulation of mast cell activation (GO:0033003)	0.8762626262626263	1.1633837767381023	0.2685370741482966	0.6113190345216848	1.0	1/1	12.45%	CD84
cluster_1						GO_Biological_Process_2021__regulation of mast cell degranulation (GO:0043304)	0.8762626262626263	1.1633837767381023	0.2685370741482966	0.6113190345216848	1.0	1/1	12.45%	CD84
cluster_1						GO_Biological_Process_2021__monocyte activation (GO:0042117)	0.8686868686868687	1.1632546578928256	0.26953125	0.6111064866955346	1.0	1/1	13.20%	MT1G
cluster_1						GO_Biological_Process_2021__regulation of Rac protein signal transduction (GO:0035020)	-0.6588037068239259	-1.1630183755255803	0.25985663082437277	0.8974807071615131	1.0	2/2	34.31%	ARHGAP44;STMN3
cluster_1						GO_Biological_Process_2021__protein localization to Golgi apparatus (GO:0034067)	0.6470092670598147	1.1623790228498596	0.26595744680851063	0.6127327707115975	1.0	2/2	35.41%	VPS13C;GCC2
cluster_1						GO_Biological_Process_2021__membrane raft organization (GO:0031579)	0.6411120471777592	1.1621563660222751	0.2651685393258427	0.6127512605180452	1.0	2/2	36.00%	S100A10;YJEFN3
cluster_1						GO_Biological_Process_2021__blood vessel morphogenesis (GO:0048514)	0.6739679865206404	1.1621233507654767	0.2816593886462882	0.6122216314094874	1.0	2/2	32.72%	APLNR;SLC1A1
cluster_1						GO_Biological_Process_2021__myeloid dendritic cell activation (GO:0001773)	-0.877104377104377	-1.1619314343797382	0.23461538461538461	0.8955311489025414	1.0	1/1	12.45%	CAMK4
cluster_1						GO_Biological_Process_2021__myeloid dendritic cell differentiation (GO:0043011)	-0.877104377104377	-1.1619314343797382	0.23461538461538461	0.8955311489025414	1.0	1/1	12.45%	CAMK4
cluster_1						GO_Biological_Process_2021__regulation of myeloid leukocyte differentiation (GO:0002761)	-0.877104377104377	-1.1619314343797382	0.23461538461538461	0.8955311489025414	1.0	1/1	12.45%	CAMK4
cluster_1						GO_Biological_Process_2021__phosphatidylethanolamine acyl-chain remodeling (GO:0036152)	0.489451476793249	1.1615292180014551	0.2641975308641975	0.6133099046624502	1.0	4/4	51.22%	MBOAT1;PLAAT4;PLAAT3;LPCAT4
cluster_1						GO_Biological_Process_2021__histone H4 acetylation (GO:0043967)	-0.882996632996633	-1.1602844102369319	0.2528301886792453	0.9001935801566323	1.0	1/1	11.86%	ACTL6B
cluster_1						GO_Biological_Process_2021__membrane depolarization during cardiac muscle cell action potential (GO:0086012)	-0.5032869694627441	-1.1587247052459784	0.26755852842809363	0.9048101364816399	1.0	3/4	34.06%	SCN3B;SCN2B;CACNA1G
cluster_1						GO_Biological_Process_2021__negative regulation of pathway-restricted SMAD protein phosphorylation (GO:0060394)	0.6495366470092672	1.1587198432049792	0.2743764172335601	0.6197639622771682	1.0	2/2	35.16%	GREM1;SNX25
